,,Actual,Predicted
# NA,/media/atif_temp/Aatif/valid/class0/325005_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class0/344008_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class2/483004_CookingArea_7.jpg,class2,low income
# NA,/media/atif_temp/Aatif/valid/class0/213005_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class0/480004_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class0/159005_CookingArea_7.jpg,class0,middle income
# NA,/media/atif_temp/Aatif/valid/class0/60002_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class0/270011_CookingArea_7.jpg,class0,middle income
# NA,/media/atif_temp/Aatif/valid/class2/510008_CookingArea_7.jpg,class2,low income
# NA,/media/atif_temp/Aatif/valid/class0/248002_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class0/129011_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class1/244012_CookingArea_7.jpg,class1,low income
# NA,/media/atif_temp/Aatif/valid/class2/139007_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class1/471004_CookingArea_7.jpg,class1,middle income
# NA,/media/atif_temp/Aatif/valid/class1/385013_CookingArea_7.jpg,class1,middle income
# NA,/media/atif_temp/Aatif/valid/class2/255008_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class2/322005_CookingArea_7.jpg,class2,low income
# NA,/media/atif_temp/Aatif/valid/class2/454006_CookingArea_7.jpg,class2,low income
# NA,/media/atif_temp/Aatif/valid/class2/93008_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class0/446010_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class0/102004_CookingArea_7.jpg,class0,middle income
# NA,/media/atif_temp/Aatif/valid/class2/87010_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class2/13004_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class2/340013_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class2/386011_CookingArea_7.jpg,class2,low income
# NA,/media/atif_temp/Aatif/valid/class2/493012_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class0/278014_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class2/22001_CookingArea_7.jpg,class2,low income
# NA,/media/atif_temp/Aatif/valid/class2/425005_CookingArea_7.jpg,class2,high income
# NA,/media/atif_temp/Aatif/valid/class1/413012_CookingArea_7.jpg,class1,low income
# NA,/media/atif_temp/Aatif/valid/class2/496003_CookingArea_7.jpg,class2,low income
# NA,/media/atif_temp/Aatif/valid/class1/379004_CookingArea_7.jpg,class1,low income
# NA,/media/atif_temp/Aatif/valid/class0/401011_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class2/206011_CookingArea_7.jpg,class2,low income
# NA,/media/atif_temp/Aatif/valid/class1/190006_CookingArea_7.jpg,class1,middle income
# NA,/media/atif_temp/Aatif/valid/class2/501009_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class0/467008_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class1/405006_CookingArea_7.jpg,class1,low income
# NA,/media/atif_temp/Aatif/valid/class0/121007_CookingArea_7.jpg,class0,middle income
# NA,/media/atif_temp/Aatif/valid/class0/311005_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class0/69005_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class2/456012_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class1/6013_CookingArea_7.jpg,class1,middle income
# NA,/media/atif_temp/Aatif/valid/class2/84009_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class2/100013_CookingArea_7.jpg,class2,high income
# NA,/media/atif_temp/Aatif/valid/class2/110004_CookingArea_7.jpg,class2,high income
# NA,/media/atif_temp/Aatif/valid/class1/312001_CookingArea_7.jpg,class1,low income
# NA,/media/atif_temp/Aatif/valid/class2/70012_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class1/462002_CookingArea_7.jpg,class1,middle income
# NA,/media/atif_temp/Aatif/valid/class0/119005_CookingArea_7.jpg,class0,middle income
# NA,/media/atif_temp/Aatif/valid/class0/433008_CookingArea_7.jpg,class0,middle income
# NA,/media/atif_temp/Aatif/valid/class2/200010_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class1/182007_CookingArea_7.jpg,class1,low income
# NA,/media/atif_temp/Aatif/valid/class1/147001_CookingArea_7.jpg,class1,middle income
# NA,/media/atif_temp/Aatif/valid/class0/488008_CookingArea_7.jpg,class0,middle income
# NA,/media/atif_temp/Aatif/valid/class1/444002_CookingArea_7.jpg,class1,middle income
# NA,/media/atif_temp/Aatif/valid/class1/413010_CookingArea_7.jpg,class1,low income
# NA,/media/atif_temp/Aatif/valid/class2/152011_CookingArea_7.jpg,class2,high income
# NA,/media/atif_temp/Aatif/valid/class2/108010_CookingArea_7.jpg,class2,high income
# NA,/media/atif_temp/Aatif/valid/class0/444001_CookingArea_7.jpg,class0,middle income
# NA,/media/atif_temp/Aatif/valid/class2/1009002_CookingArea_7.jpg,class2,high income
# NA,/media/atif_temp/Aatif/valid/class0/73003_CookingArea_7.jpg,class0,middle income
# NA,/media/atif_temp/Aatif/valid/class2/217002_CookingArea_7.jpg,class2,low income
# NA,/media/atif_temp/Aatif/valid/class0/98010_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class1/68005_CookingArea_7.jpg,class1,middle income
# NA,/media/atif_temp/Aatif/valid/class2/87001_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class0/78004_CookingArea_7.jpg,class0,middle income
# NA,/media/atif_temp/Aatif/valid/class0/64002_CookingArea_7.jpg,class0,middle income
# NA,/media/atif_temp/Aatif/valid/class0/324008_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class1/394012_CookingArea_7.jpg,class1,low income
# NA,/media/atif_temp/Aatif/valid/class2/312010_CookingArea_7.jpg,class2,low income
# NA,/media/atif_temp/Aatif/valid/class2/251003_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class2/427003_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class0/268004_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class2/1049011_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class0/447001_CookingArea_7.jpg,class0,middle income
# NA,/media/atif_temp/Aatif/valid/class0/329013_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class0/17003_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class2/227011_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class1/26011_CookingArea_7.jpg,class1,high income
# NA,/media/atif_temp/Aatif/valid/class0/152005_CookingArea_7.jpg,class0,high income
# NA,/media/atif_temp/Aatif/valid/class1/39002_CookingArea_7.jpg,class1,middle income
# NA,/media/atif_temp/Aatif/valid/class0/151007_CookingArea_7.jpg,class0,middle income
# NA,/media/atif_temp/Aatif/valid/class0/152001_CookingArea_7.jpg,class0,middle income
# NA,/media/atif_temp/Aatif/valid/class0/444003_CookingArea_7.jpg,class0,middle income
# NA,/media/atif_temp/Aatif/valid/class2/86014_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class0/1030003_CookingArea_7.jpg,class0,middle income
# NA,/media/atif_temp/Aatif/valid/class2/149005_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class2/503014_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class2/323012_CookingArea_7.jpg,class2,low income
# NA,/media/atif_temp/Aatif/valid/class1/328002_CookingArea_7.jpg,class1,low income
# NA,/media/atif_temp/Aatif/valid/class1/414003_CookingArea_7.jpg,class1,low income
# NA,/media/atif_temp/Aatif/valid/class1/120002_CookingArea_7.jpg,class1,low income
# NA,/media/atif_temp/Aatif/valid/class2/504001_CookingArea_7.jpg,class2,low income
# NA,/media/atif_temp/Aatif/valid/class2/394001_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class1/506004_CookingArea_7.jpg,class1,low income
# NA,/media/atif_temp/Aatif/valid/class2/97011_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class2/524001_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class0/331011_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class2/417004_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class0/342006_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class1/399005_CookingArea_7.jpg,class1,middle income
# NA,/media/atif_temp/Aatif/valid/class2/58007_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class1/423014_CookingArea_7.jpg,class1,low income
# NA,/media/atif_temp/Aatif/valid/class2/111010_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class0/125001_CookingArea_7.jpg,class0,middle income
# NA,/media/atif_temp/Aatif/valid/class1/33001_CookingArea_7.jpg,class1,low income
# NA,/media/atif_temp/Aatif/valid/class2/519001_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class0/268001_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class2/472006_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class2/299014_CookingArea_7.jpg,class2,low income
# NA,/media/atif_temp/Aatif/valid/class2/6010_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class2/482012_CookingArea_7.jpg,class2,low income
# NA,/media/atif_temp/Aatif/valid/class0/136013_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class1/19006_CookingArea_7.jpg,class1,middle income
# NA,/media/atif_temp/Aatif/valid/class0/473007_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class2/375004_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class1/379012_CookingArea_7.jpg,class1,low income
# NA,/media/atif_temp/Aatif/valid/class0/291012_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class1/191009_CookingArea_7.jpg,class1,low income
# NA,/media/atif_temp/Aatif/valid/class1/456009_CookingArea_7.jpg,class1,middle income
# NA,/media/atif_temp/Aatif/valid/class1/184009_CookingArea_7.jpg,class1,middle income
# NA,/media/atif_temp/Aatif/valid/class2/515003_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class0/160008_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class2/13001_CookingArea_7.jpg,class2,low income
# NA,/media/atif_temp/Aatif/valid/class0/203005_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class2/70014_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class2/147010_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class1/442004_CookingArea_7.jpg,class1,low income
# NA,/media/atif_temp/Aatif/valid/class2/1002017_CookingArea_7.jpg,class2,low income
# NA,/media/atif_temp/Aatif/valid/class0/95005_CookingArea_7.jpg,class0,high income
# NA,/media/atif_temp/Aatif/valid/class2/251011_CookingArea_7.jpg,class2,high income
# NA,/media/atif_temp/Aatif/valid/class2/477010_CookingArea_7.jpg,class2,low income
# NA,/media/atif_temp/Aatif/valid/class2/336009_CookingArea_7.jpg,class2,low income
# NA,/media/atif_temp/Aatif/valid/class0/384006_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class2/386012_CookingArea_7.jpg,class2,low income
# NA,/media/atif_temp/Aatif/valid/class1/404001_CookingArea_7.jpg,class1,low income
# NA,/media/atif_temp/Aatif/valid/class0/499003_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class1/63002_CookingArea_7.jpg,class1,low income
# NA,/media/atif_temp/Aatif/valid/class0/191013_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class0/205012_CookingArea_7.jpg,class0,middle income
# NA,/media/atif_temp/Aatif/valid/class2/150002_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class0/300008_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class0/460006_CookingArea_7.jpg,class0,low income
# NA,/media/atif_temp/Aatif/valid/class2/112003_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class1/473004_CookingArea_7.jpg,class1,middle income
# NA,/media/atif_temp/Aatif/valid/class2/505005_CookingArea_7.jpg,class2,middle income
# NA,/media/atif_temp/Aatif/valid/class2/108006_CookingArea_7.jpg,class2,middle income
