,,Actual,Predicted
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/255002_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/128014_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/512001_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/183012_HouseFront_2.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/152002_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/373002_HouseFront_2.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/190002_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/36004_HouseFront_2.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/363007_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/233004_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/108012_HouseFront_2.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/37006_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/234006_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/70014_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/434004_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/299012_HouseFront_2.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/460006_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/207011_HouseFront_2.jpg,class0,low income
# nan,/hdd/Aatif/AHI Data/3_classes/front/test/class0/66001_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/273012_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/274004_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/270001_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/104012_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/164007_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/454008_HouseFront_2.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/501004_HouseFront_2.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/26006_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/144005_HouseFront_2.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/19007_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/296010_HouseFront_2.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/207007_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/220011_HouseFront_2.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/98009_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/450004_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/303012_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/370004_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/292005_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/193002_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/100014_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/510003_HouseFront_2.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/107005_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/110005_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/191013_HouseFront_2.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/517010_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/199013_HouseFront_2.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/284011_HouseFront_2.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class2/389005_HouseFront_2.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class1/68008_HouseFront_2.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/front/test/class0/1030005_HouseFront_2.jpg,class0,high income
