Comments,URL,Actual,Predicted
# kyuki ynha sansadhno ki bhut kami hai.,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/329004_HouseInterior_6.jpg,class0,low income
# kyuki ynha kuchh bhi vyavshthit dhang se nhi hai aur ynha snsadhno ki bhi kami hai.,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/466004_HouseInterior_6.jpg,class2,lower middle income
"# sansadhno ki kami,ghar ki aur saman ki bekar condition.",/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/262006_HouseInterior_6.jpg,class0,lower middle income
"# saman ka behatr condition, furniture vyvashthit thang se hona,and well maintained house",/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/132001_HouseInterior_6.jpg,class4,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/194007_HouseInterior_6.jpg,class3,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/402008_HouseInterior_6.jpg,class4,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/274005_HouseInterior_6.jpg,class2,middle income
"# sansadhno ki kami,bad condition of the house and furniture.",/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/118011_HouseInterior_6.jpg,class3,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/469003_HouseInterior_6.jpg,class2,middle income
"# well maintained house,good condition of furniture and other things.",/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/61009_HouseInterior_6.jpg,class0,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/445005_HouseInterior_6.jpg,class3,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/235002_HouseInterior_6.jpg,class1,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/185004_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/370011_HouseInterior_6.jpg,class3,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/53009_HouseInterior_6.jpg,class4,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/41006_HouseInterior_6.jpg,class2,middle income
"# ghar ki bekar condition,chijo ka aabhav.",/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/226004_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/485012_HouseInterior_6.jpg,class4,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/381003_HouseInterior_6.jpg,class3,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/519008_HouseInterior_6.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/332008_HouseInterior_6.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/494005_HouseInterior_6.jpg,class4,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/268002_HouseInterior_6.jpg,class1,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/408012_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/374001_HouseInterior_6.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/155012_HouseInterior_6.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/412002_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class4/498012_HouseInterior_6.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/1039006_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/33013_HouseInterior_6.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/500002_HouseInterior_6.jpg,class1,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/341012_HouseInterior_6.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/319002_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/9006_HouseInterior_6.jpg,class2,middle income
"# better condition of the room and other things, well maintained room.",/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/504003_HouseInterior_6.jpg,class0,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/185009_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/145008_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/101009_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/199001_HouseInterior_6.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class0/246002_HouseInterior_6.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/77002_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/448003_HouseInterior_6.jpg,class2,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class3/283003_HouseInterior_6.jpg,class3,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class1/1053011_HouseInterior_6.jpg,class1,high income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/262001_HouseInterior_6.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/interior/train/class2/495003_HouseInterior_6.jpg,class2,middle income
