,,Actual,Predicted
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/473004_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/517010_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/491007_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/197010_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/146002_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/299001_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/154005_HouseInterior_6.jpg,class2,high income
# nan,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/501011_HouseInterior_6.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/108006_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/369010_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/502002_HouseInterior_6.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/339007_HouseInterior_6.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/434013_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/419003_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/44003_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/417006_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/70014_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/277014_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/97006_HouseInterior_6.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/489010_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/366011_HouseInterior_6.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/290006_HouseInterior_6.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/1032009_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/378011_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/113001_HouseInterior_6.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/419006_HouseInterior_6.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/88006_HouseInterior_6.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/94008_HouseInterior_6.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/125010_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/408004_HouseInterior_6.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/83004_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/362001_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/477010_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/395004_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/106002_HouseInterior_6.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/286007_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/208012_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/487005_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/195009_HouseInterior_6.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/6003_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/92009_HouseInterior_6.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/12013_HouseInterior_6.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/135004_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/276006_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/1028001_HouseInterior_6.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/59005_HouseInterior_6.jpg,class1,high income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/112003_HouseInterior_6.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/162001_HouseInterior_6.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/422001_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/20002_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/193007_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/114004_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/340013_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/18003_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/401005_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/365009_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/389012_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/127012_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/375008_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/65003_HouseInterior_6.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/506010_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/60008_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/382007_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/242008_HouseInterior_6.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/326001_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/455006_HouseInterior_6.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/63007_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/108010_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/32003_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/369012_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/65011_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/121007_HouseInterior_6.jpg,class0,middle income
# nan,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/515010_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/264003_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/107004_HouseInterior_6.jpg,class1,high income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/82004_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/372010_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/264004_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/221006_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/53011_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/58007_HouseInterior_6.jpg,class2,middle income
# nan,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/506004_HouseInterior_6.jpg,class1,middle income
# nna,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/1006013_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/65009_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/40007_HouseInterior_6.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/274004_HouseInterior_6.jpg,class2,high income
# nan,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/340001_HouseInterior_6.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/382008_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/148012_HouseInterior_6.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/13014_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/183009_HouseInterior_6.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/100012_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/112009_HouseInterior_6.jpg,class2,high income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/208002_HouseInterior_6.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class1/449004_HouseInterior_6.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class0/292005_HouseInterior_6.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/59002_HouseInterior_6.jpg,class2,middle income
# na,/hdd/Aatif/AHI Data/3_classes/interior/valid/class2/125011_HouseInterior_6.jpg,class2,high income
