,,Actual,Predicted
# vastuo ka aabhav.,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/430004_CookingArea_7.jpg,class2,middle income
# sansadhano ki bhut kami hai.,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/1028008_CookingArea_7.jpg,class3,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/314010_CookingArea_7.jpg,class3,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/306009_CookingArea_7.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/135010_CookingArea_7.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/381012_CookingArea_7.jpg,class3,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/161009_CookingArea_7.jpg,class1,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/1023002_CookingArea_7.jpg,class0,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/76002_CookingArea_7.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/309012_CookingArea_7.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/280004_CookingArea_7.jpg,class4,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/441010_CookingArea_7.jpg,class3,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/109006_CookingArea_7.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/301002_CookingArea_7.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/421011_CookingArea_7.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/517010_CookingArea_7.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/378010_CookingArea_7.jpg,class2,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/137008_CookingArea_7.jpg,class3,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/391002_CookingArea_7.jpg,class4,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/193014_CookingArea_7.jpg,class3,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/277007_CookingArea_7.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/341009_CookingArea_7.jpg,class0,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/23010_CookingArea_7.jpg,class2,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/71010_CookingArea_7.jpg,class2,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/497003_CookingArea_7.jpg,class2,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/339003_CookingArea_7.jpg,class4,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/298007_CookingArea_7.jpg,class3,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/245005_CookingArea_7.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/125003_CookingArea_7.jpg,class4,higher middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/341008_CookingArea_7.jpg,class4,lower middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/100014_CookingArea_7.jpg,class4,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/142012_CookingArea_7.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/1017011_CookingArea_7.jpg,class0,middle income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class1/448009_CookingArea_7.jpg,class1,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class0/197005_CookingArea_7.jpg,class0,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/420009_CookingArea_7.jpg,class4,lower middle income
# sansadhno ka bhut aabhv hai.,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/114011_CookingArea_7.jpg,class3,low income
# na,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class2/9001_CookingArea_7.jpg,class2,low income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class4/276008_CookingArea_7.jpg,class4,lower middle income
# NA,/hdd/Aatif/AHI Data/Cleaned (duplicates and missingness)/cooking/valid/class3/515001_CookingArea_7.jpg,class3,lower middle income
